sample,label
"proved too difficult a text to ` lick , ' despite the efforts of a first-rate cast ",0
accomplishment ,1
aggrieved father cliché ,0
"but it could be , by its art and heart , a necessary one . ",1
captured the chaos of an urban conflagration with such fury ,1
"you , like me , think an action film disguised as a war tribute is disgusting to begin with ",0
"tedious it makes the silly spy vs. spy film the sum of all fears , starring ben affleck , seem downright hitchcockian ",0
his sense of story and his juvenile camera movements smack of a film school undergrad ,0
a flat script and ,0
as rogue cia assassins working for chris cooper 's agency boss close in on the resourceful amnesiac ,1
"'s a persistent theatrical sentiment and a woozy quality to the manner of the storytelling , which undercuts the devastatingly telling impact of utter loss personified in the film 's simple title . ",0
rehashes several old themes and is capped with pointless extremes ,0
destructive ,0
the movie winds up feeling like a great missed opportunity . ,0
nothing at the core of this slight coming-of-age/coming-out tale ,0
can be accused of being a bit undisciplined ,0
that has something a little more special behind it : music that did n't sell many records but helped change a nation ,1
at the very least ,0
dangerous ,0
charisma and ,1
director peter kosminsky gives these women a forum to demonstrate their acting ` chops ' and they take full advantage ,1
bland to be interesting ,0
"the enjoyable undercover brother , a zany mix of saturday night live-style parody , '70s blaxploitation films and goofball action comedy gone wild , dishes out a ton of laughs that everyone can enjoy . ",1
it 's unlikely we 'll see a better thriller this year . ,1
but uninvolving ,0
"refreshingly realistic , affectation-free ",1
insightful writer/director ,1
welled up in my eyes both times ,1
the gorgeously elaborate continuation of `` the lord of the rings '' trilogy ,1
most splendid ,1
"contradictory , self-hating , self-destructive ways ",0
makes dover kosashvili 's outstanding feature debut so potent ,1
", this is the one . ",1
"the title , many can aspire but none can equal ",0
animated drivel meant to enhance the self-image of drooling idiots . ,0
"funny , somber , absurd , and , finally , achingly sad ",1
it was going to be ,1
"graphic sex may be what 's attracting audiences to unfaithful , but gripping performances by lane and gere are what will keep them awake . ",1
have its charms ,1
has the disadvantage of also looking cheap ,0
gives her best performance since abel ferrara had her beaten to a pulp in his dangerous game ,1
can depress you about life itself . ,0
is enticing ,1
more quick-witted than any english lit ,1
puréed mélange ,0
mishandled ,0
finds warmth in the coldest environment and ,1
's horribly wrong ,0
is that there is nothing in it to engage children emotionally . ,0
cletis is playful but highly studied and dependent for its success on a patient viewer . ,1
"land , people and narrative flow together in a stark portrait of motherhood deferred and desire explored . ",1
"it has some cute moments , funny scenes , and hits the target audience ( young bow wow fans ) - with nothing but net ",1
", the movie makes two hours feel like four . ",0
"miller tells this very compelling tale with little fuss or noise , expertly plucking tension from quiet . ",1
"comedy , caper thrills and quirky romance ",1
"watch for that sense of openness , the little surprises . ",1
weak and strong ,1
"perhaps it 's cliche to call the film ` refreshing , ' but it is ",1
this action-thriller/dark comedy is one of the most repellent things to pop up in a cinematic year already littered with celluloid garbage . ,0
its funny moments ,1
a selection of scenes in search of a movie . ,0
fills the eyes ,1
the rare imax movie that you 'll wish ,1
be shaking your head all the way to the credits ,0
"the film , like jimmy 's routines , could use a few good laughs . ",0
a more sheerly beautiful film ,1
the survivors ,1
pulling the plug on the conspirators and averting an american-russian armageddon ,1
who surely read the catcher in the rye but clearly suffers from dyslexia ,0
"a screenplay that forces them into bizarre , implausible behavior ",0
"the soul-searching deliberateness of the film , although leavened nicely with dry absurdist wit ",1
needed . ,1
watered down the version of the one before ,0
find a scathing portrayal of a powerful entity strangling the life out of the people who want to believe in it the most ,1
"much about any aspect of it , from its cheesy screenplay ",0
as a chance to revitalize what is and always has been remarkable about clung-to traditions ,1
"a retread story , bad writing , and the same old silliness ",0
it takes an abrupt turn into glucose sentimentality and laughable contrivance ,0
ice-t sticks his mug in the window of the couple 's bmw and begins haranguing the wife in bad stage dialogue ,0
( sci-fi ) rehash ,0
a serious contender for the title ,1
spain 's greatest star wattage ,1
the picture 's fascinating byways ,1
returns to narrative filmmaking with a visually masterful work of quiet power ,1
bargain-basement european pickup ,0
yet another visit ,0
because panic room is interested in nothing more than sucking you in ... and making you sweat ,1
no amount of nostalgia for carvey 's glory days ,0
smart-aleck ,0
pleasant ,1
"is amazing , yes ",1
99-minute ,1
check this one out ,1
truly larger-than-life character ,1
confuses its message with an ultimate desire to please ,0
enough cool ,1
powerful entity ,1
manufactured to claim street credibility ,0
salvation and good intentions ,1
( the characters ' ) misery ,0
powerful act ,1
features fincher 's characteristically startling visual style and an almost palpable sense of intensity . ,1
"a preposterous , prurient whodunit . ",0
"impossible , irrevocable choices ",1
hits a nerve ,0
of screenwriting cliches that sink it faster than a leaky freighter ,0
robert harmon 's less-is-more approach ,1
it is more likely to induce sleep than fright . ,0
afraid of the bad reviews ,0
mind-numbingly ,0
acted offbeat thriller ,1
becomes increasingly implausible as it races ,0
feel alive - which is what they did ,1
"it falls far short of poetry , but it 's not bad prose ",1
"a headline-fresh thriller set among orthodox jews on the west bank , joseph cedar 's time of favor manages not only to find a compelling dramatic means of addressing a complex situation , it does so without compromising that complexity . ",1
( fiji diver rusi vulakoro and the married couple howard and michelle hall ) show us the world they love and make ,1
a director beginning to resemble someone 's crazy french grandfather ,0
the variety of tones in spielberg 's work ,1
comes off as insultingly simplistic ,0
to the illogic of its characters ,0
"sexy , peculiar and always entertaining costume drama ",1
"complex , laden with plenty of baggage and ",0
piecing the story together frustrating difficult ,0
are quite touching ,1
the young stars are too cute ; the story and ensuing complications are too manipulative ; ,0
a very ambitious project ,1
"a zombie movie in every sense of the word -- mindless , lifeless , meandering , loud , painful , obnoxious ",0
brims with passion ,1
explore the connections between place and personal identity . ,1
a rather tired exercise in nostalgia . ,0
a monster movie ,1
honestly nice ,1
that kidman has become one of our best actors ,1
downward ,0
become apparent that the franchise 's best years are long past ,0
the outer limits of raunch ,0
of high humidity ,1
's informative and breathtakingly spectacular ,1
almost saves the movie . ,0
the sum ,1
the film operates nicely off the element of surprise ,1
are lukewarm and quick to pass . ,0
that there 's really not much of a sense of action ,0
"its recycled aspects , implausibility , ",0
nice rhythm ,1
foul up shum 's good intentions . ,0
that old adage about women being unknowable gets an exhilarating new interpretation in morvern callar . ,1
terrific casting and ,1
", fireballs and revenge ",0
to spoof both black and white stereotypes equally ,1
the makers of this ` we 're - doing-it-for - the-cash ' sequel were ,0
exceeds expectations . ,1
"by the dispassionate gantz brothers as ordinary , pasty lumpen ",0
"sly , intricate magic ",1
"a film that will be best appreciated by those willing to endure its extremely languorous rhythms , waiting for happiness ",0
to have a knack for wrapping the theater in a cold blanket of urban desperation ,0
the accidental spy is a solid action pic that returns the martial arts master to top form ,1
makes no sense ,0
dynamism ,1
shooting blanks ,0
"enjoyable , if occasionally flawed , experiment ",1
"politics , power and ",1
"the screenplay is hugely overwritten , with tons and tons of dialogue -- most of it given to children . ",0
refracting all of world war ii through the specific conditions of one man ,0
one of the best-sustained ideas i have ever seen on the screen ,1
"some cute moments , funny scenes , and ",1
insightful enough ,1
"one of those rare films that seems as though it was written for no one , but somehow manages to convince almost everyone that it was put on the screen , just for them . ",1
in creating the layered richness of the imagery in this chiaroscuro of madness and light ,1
"unleashes his trademark misogyny -- er , comedy -- ",0
a feeble tootsie knockoff . ,0
in all its director 's cut glory ,1
help but engage an audience ,1
"` in this poor remake of such a well loved classic , parker exposes the limitations of his skill and the basic flaws in his vision . ' ",0
compelling plots ,1
"a lot more smarts , but just as endearing and easy to watch ",1
more appealing holiday-season product ,1
just does n't have anything really interesting to say . ,0
balancing deafening battle scenes with quieter domestic scenes of women back home receiving war department telegrams ,1
the film runs on a little longer than it needs to -- muccino either does n't notice when his story ends or just ca n't tear himself away from the characters ,0
idiotically uses the website feardotcom.com or the improperly hammy performance from poor stephen rea ,0
condescending stereotypes ,0
organic intrigue ,1
instead comes far closer than many movies to expressing the way many of us live -- someplace between consuming self-absorption and insistently demanding otherness . ,1
disappointing ,0
"it gets very ugly , very fast ",0
cold light ,0
", brisk delight ",1
think they ,0
idealism american ,1
beautifully read and ,1
unfocused ,0
set in a 1986 harlem that does n't look much like anywhere in new york . ,0
the robust middle of this picture ,1
"a delightful , if minor , pastry of a movie . ",1
is both convincing and radiant ,1
witty dialogue and inventive moments ,1
and they succeed merrily at their noble endeavor . ,1
every aggrieved father cliché ,0
revealing nothing about the pathology it pretends to investigate ,1
the delete key ,0
gets its greatest play from the timeless spectacle of people really talking to each other ,1
has never been smoother or more confident ,1
must struggle with the fact that they 're playing characters who sometimes feel more like literary conceits than flesh-and-blood humans ,0
on too many tried-and-true shenanigans that hardly distinguish it from the next teen comedy ,0
"smith examines the intimate , unguarded moments of folks who live in unusual homes -- which pop up in nearly every corner of the country . ",1
familiar -- and not in a good way ,0
a keep - 'em - guessing plot and an affectionate take on its screwed-up characters . ,1
"a side of contemporary chinese life that many outsiders will be surprised to know exists , and does so with an artistry that also smacks of revelation . ",1
to the integrity and vision of the band ,1
a suffocating rape-payback horror show that hinges on the subgenre 's most enabling victim ... and an ebullient affection for industrial-model meat freezers . ,1
shot like a postcard ,1
"is a truly , truly bad movie ",0
", sweaty-palmed fun ",1
complaining when a film clocks in around 90 minutes these days ,1
a few good ideas ,1
'll find in this dreary mess . ,0
so insanely stupid ,0
french director anne fontaine delivers an inspired portrait of male-ridden angst and the emotional blockage that accompanies this human condition ,1
"plods along methodically , somehow under the assumption that its `` dead wife communicating from beyond the grave '' framework is even remotely new or interesting . ",0
that remains vividly in memory long ,1
's much to recommend the film . ,1
"a smart , provocative drama that does the nearly impossible : ",1
never feel anything for these characters ,0
good than great ,1
is nothing redeeming about this movie ,0
"does a great combination act as narrator , jewish grandmother and subject -- ",1
the major problem ,0
drown a viewer in boredom than to send any shivers down his spine ,0
insightful moments . ,1
continues . ,1
"of those films where the characters inhabit that special annex of hell where adults behave like kids , children behave like adults and everyone ",0
queen of the damned is too long with too little going on . ,0
is a fascinating film because there is no clear-cut hero and no all-out villain . ,1
however ,0
like a medium-grade network sitcom -- mostly inoffensive ,0
"borstal boy represents the worst kind of filmmaking , the kind that pretends to be passionate and truthful but is really frustratingly timid and soggy . ",0
"a cinematic car wreck , ",0
's a barely tolerable slog over well-trod ground . ,0
during a summer of event movies than a spy thriller like the bourne identity that 's packed with just as much intelligence as action ,1
disquieting and thought-provoking film ,1
fails to rise above its disgusting source material ,0
"will be delighted with the fast , funny , and even touching story ",1
disconcertingly slack ,0
the perfectly pitched web ,1
its uncanny tale ,1
feels as if the movie is more interested in entertaining itself than in amusing us . ,0
have strip-mined the monty formula mercilessly since 1997 . ,1
one film that 's truly deserving of its oscar nomination ,1
"has a built-in audience , but only among those who are drying out from spring break ",0
'll feel as the credits roll ,1
", pranks , pratfalls , dares , injuries , etc . ",0
is predictable at every turn . ,0
its nauseating spinning credits sequence ,0
liberating ,1
decent ,1
try paying less attention to the miniseries and more attention to the film it is about ,0
of justice ,1
head and shoulders above much of the director 's previous popcorn work ,1
enough cool fun here to warm the hearts of animation enthusiasts of all ages ,1
even more reassuring ,1
a solidly entertaining little film ,1
"that my enjoyment came at the expense of seeing justice served , even if it 's a dish that 's best served cold ",1
"although purportedly a study in modern alienation , it 's really little more than a particularly slanted , gay s/m fantasy , enervating and deadeningly drawn-out . ",0
the magnificent swooping aerial shots ,1
say nothing of boring ,0
this girl deserves a sequel ,1
the characters are so generic ,0
"plumbs uncharted depths of stupidity , incoherence and sub-sophomoric sexual banter . ",0
"little too obvious , ",0
lazy but enjoyable ,1
proceeds to flop ,0
only defies credibility ,0
"the movie is like a year late for tapping into our reality tv obsession , and even tardier for exploiting the novelty of the `` webcast . '' ",0
parody . ,1
remarkable piece ,1
's an 88-minute highlight reel that 's 86 minutes too long ,0
"is we never really see her esther blossom as an actress , even though her talent is supposed to be growing . ",0
it adds up to big box office bucks all but guaranteed . ,1
star script ,1
is widely seen and debated with appropriate ferocity and thoughtfulness ,1
kept much of the plot but jettisoned the stuff that would make this a moving experience for people who have n't read the book ,0
a sea of visual and verbal clichés ,0
grabs you ,1
"'s simply stupid , irrelevant and deeply , truly , bottomlessly cynical ",0
nevertheless efficiently ,1
much imagination ,1
"allows us to be transported into the life of wladyslaw szpilman , who is not only a pianist , but a good human being . ",1
an emotional wallop ,1
's the perfect cure for insomnia ,0
"a triumph , a film that hews out a world and carries us effortlessly from darkness to light . ",1
is born to play shaggy ,1
", but why bother if you 're going to subjugate truth to the tear-jerking demands of soap opera ",0
"the film succeeds with its dark , delicate treatment of these characters and its unerring respect for them . ",1
a scummy ripoff of david cronenberg 's brilliant ` videodrome ,0
"watching the chemistry between freeman and judd , however , almost makes this movie worth seeing . ",1
", hypocritical ",0
of the nincompoop benigni persona ,0
a lot of their time ( including mine ) on something very inconsequential ,1
incredibly flexible ,1
"but seriously , folks , it does n't work . ",0
in all the best possible ways ,1
its music or ,0
comes across as a fairly weak retooling ,0
"some of the computer animation is handsome , and ",1
fascinate ,1
seems to have dumped a whole lot of plot in favor of ... outrageous gags . ,0
genre a bad name . ,0
decent performance ,1
campanella 's competent direction ,1
exceptional detail ,1
"this painfully forced , false and fabricated ",0
cheesy backdrops ,0
is a wish a studio 's wallet makes ,1
will talk about for hours . ,1
bungle their way ,0
i feel better already . ,1
generous and ,1
"might to resist , if you 've got a place in your heart for smokey robinson ",1
modern-day comedies ,1
seem like such a bore ,0
meager weight ,0
new treasure ,1
achieves its emotional power and moments of revelation ,1
"'s all about anakin ... and the lustrous polished visuals rich in color and creativity and , of course , special effect ",1
quick-cut edits that often detract from the athleticism ,0
"this makes it not only a detailed historical document , but an engaging and moving portrait of a subculture ",1
the viewer takes great pleasure in watching the resourceful molly stay a step ahead of her pursuers . ,1
how ridiculous and money-oriented the record industry really is ,0
"maybe you 'll be lucky , and there 'll be a power outage during your screening so you can get your money back . ",0
suited neither to kids or adults ,0
are in this tepid genre offering ,0
is workmanlike in the extreme ,0
seem self-consciously poetic and forced ,0
the martial arts master to top form ,1
writer / director m. night shyamalan 's ability to pull together easily accessible stories that resonate with profundity is undeniable . ,1
"formulaic , its plot and pacing typical hollywood war-movie stuff ",0
"a head-turner -- thoughtfully written , ",1
the dark ,0
boozy ,0
of the theater feeling ,1
unappealing ,0
"human nature , in short , is n't nearly as funny as it thinks it is ; neither is it as smart . ",0
felt emotions can draw people together across the walls that might otherwise separate them ,1
japanese epic ,1
a big splash ,1
'll still have a good time ,1
bolado credit for good intentions ,1
feel better already . ,1
parable that loves its characters and communicates something rather beautiful about human nature ,1
entertaining itself ,1
full of nuance and character dimension ,1
love the film ,1
a new treasure ,1
the quirky and recessive charms of co-stars martin donovan and mary-louise parker ,1
on both sides it falls short ,0
stiff or just plain bad ,0
a grenade with his teeth ,0
never mind all that ; the boobs are fantasti ,1
of outrageous force and craven concealment ,0
often-hilarious ,1
doubtful this listless feature will win him any new viewers ,0
"is a very funny , heartwarming film . ",1
leaves a lot to be desired ,0
eventually becomes too heavy for the plot . ,0
artistes ,1
to mediocrity ,0
just such a dungpile that you 'd swear you ,0
"when the movie mixes the cornpone and the cosa nostra , it finds a nice rhythm . ",1
's easier to change the sheets ,0
in terms of the low-grade cheese standards on which it operates ,0
"some very good acting , ",1
is a pretty decent little documentary . ,1
"a witty , whimsical feature ",1
"a smart , provocative drama that does the nearly impossible : it gets under the skin of a man we only know as an evil , monstrous lunatic ",1
seamless and sumptuous stream ,1
an engrossing story about a horrifying historical event ,1
his future wife ,1
clever exercise ,1
unparalleled proportions ,1
's also undeniably exceedingly clever ,1
enjoyed . ,1
the ranks ,1
most incoherent ,0
"girlfriends are bad , wives are worse ",0
have made a remarkable film that explores the monster 's psychology not in order to excuse him but rather to demonstrate that his pathology evolved from human impulses that grew hideously twisted . ,1
a funny and touching film that is gorgeously ,1
is flat . ,0
"from its ripe recipe , inspiring ingredients ",1
about each other against all odds ,1
"a spoof comedy that carries its share of laughs -- sometimes a chuckle , sometimes a guffaw and , to my great pleasure , the occasional belly laugh ",1
comes across as a fairly weak retooling . ,0
romp pile ,0
the most surprising thing about this film ,1
convinced ,1
motherhood ,1
", it 's nowhere near as good as the original . ",0
"stale , standard , connect-the-dots storyline ",0
would 've worked a lot better had it been a short film . ,0
gets an exhilarating new interpretation in morvern callar . ,1
overly convenient plot twists ,0
much about the ownership and redefinition of myth ,1
turn and devolves ,0
would ever work in a mcculloch production again if they looked at how this movie turned out ,0
but it 's surprisingly harmless . ,1
is never clear ,0
is that it 's far too sentimental . ,0
naturally dramatic ,1
the courageous molly craig ,1
an artist who has been awarded mythic status in contemporary culture ,1
of vampire fun ,1
the script has less spice than a rat burger and the rock 's fighting skills are more in line with steven seagal . ,0
of a filmmaker who has secrets buried at the heart of his story and knows how to take time revealing them ,1
"find it with ring , an indisputably spooky film ; ",1
muddled and ,0
few things more frustrating ,0
"a good film with a solid pedigree both in front of and , more specifically , behind the camera ",1
not one clever line of dialogue ,0
mergers and downsizing ,0
humdrum ,0
fire ,0
the knee-jerk misogyny ,0
"unique , well-crafted psychological study ",1
maintaining the appearance of clinical objectivity ,1
its old-hat set-up and predictable plot ,0
"a heartwarming , nonjudgmental kind of way ",1
manages to generate the belly laughs of lowbrow comedy without sacrificing its high-minded appeal ,1
audacity and ,0
a christmas perennial ,1
on his way to becoming the american indian spike lee ,1
"this movie may not have the highest production values you 've ever seen , ",0
a guiltless film ,1
wastes its time on mood rather than ,0
most touching movie of recent years ,1
gets us too drunk on the party favors to sober us up with the transparent attempts at moralizing ,0
"is lightweight filmmaking , to be sure ",0
lacks ,0
"the masses with star power , a pop-induced score and sentimental ",1
", taut , piercing and feisty ",1
"is meaningless , vapid and devoid of substance , ",0
's a clarity of purpose and even-handedness to the film 's direction ,1
left off the film 's predictable denouement ,0
"weirdly , broomfield has compelling new material but he does n't unveil it until the end , after endless scenes of him wheedling reluctant witnesses and pointing his camera through the smeared windshield of his rental car . ",0
"there 's not an original character , siuation or joke in the entire movie ",0
from ever reaching the comic heights it obviously desired ,0
the devastation of this disease ,0
"though few will argue that it ranks with the best of herzog 's works , invincible shows he 's back in form , with an astoundingly rich film . ",1
shot like a postcard ,1
is a perfect family film to take everyone to since there 's no new `` a christmas carol '' out in the theaters this year ,1
there is no denying the power of polanski 's film ... ,1
", one could rent the original and get the same love story and parable . ",0
noticeably less ,0
good intentions derailed by a failure to seek and strike just the right tone ,0
that he will once again be an honest and loving one ,1
a cold-hearted curmudgeon for not being able to enjoy a mindless action movie ,0
"murderous maids has a lot going for it , not least the brilliant performances by testud ... and parmentier . ",1
told in scattered fashion ,0
its appeal ,1
various sources ,1
commercialism all in the same movie ... without neglecting character development for even one minute ,1
every conceivable mistake a director could make in filming opera ,0
"goes a long way toward restoring the luster of the national lampoon film franchise , too long reduced to direct-to-video irrelevancy ",1
been lost in the translation ... another routine hollywood frightfest in which the slack execution italicizes the absurdity of the premise ,0
clearly see the world of our making . ,1
great story ,1
the more hackneyed elements of the film ,0
spielberg has managed to marry science fiction with film noir and action flicks with philosophical inquiry . ,1
lives down to its title . ,0
the be-all-end-all of the modern-office anomie films ,1
"like quirky , odd movies and/or the ironic ",1
ayatollah ,1
great monster/science fiction flicks ,1
"the new thriller proves that director m. night shyamalan can weave an eerie spell and that mel gibson can gasp , shudder and even tremble without losing his machismo . ",1
insufferably ,0
a bid to hold our attention ,0
very good acting ,1
are as subtle and as enigmatic ,1
"well , this movie proves you wrong on both counts . ",0
a crisp psychological drama ( and ) a fascinating little thriller that would have been perfect for an old `` twilight zone '' episode . ,1
monster truck-loving good ol' boys and peroxide blond honeys whose worldly knowledge comes from tv reruns and supermarket tabloids ,0
none of this sounds promising ,0
the movie tries to make sense of its title character ,0
"of unfocused , excruciatingly tedious cinema ",0
stupidity ,0
lost ideal ,0
"mysterious , sensual , emotionally intense , ",1
is beautiful and mysterious ,1
ever see one of those comedies that just seem like a bad idea from frame one ? ,0
"a funny , triumphant , and moving documentary . ",1
", this movie just goes on and on and on and on ",0
most inventive ,1
a deliciously nonsensical comedy about a city coming apart at its seams . ,1
"a very well-meaning movie , and ",1
benefits from serendipity but also reminds us of our own responsibility to question what is told as the truth . ,1
all the stomach-turning violence ,0
"a more annoying , though less angry ",0
made literature literal without killing its soul ,1
the jokes are telegraphed so far in advance they must have been lost in the mail . ,0
", the rest of the cast comes across as stick figures reading lines from a teleprompter . ",0
the ideal outlet for his flick-knife diction in the role of roger swanson ,1
amounts to little more than preliminary notes for a science-fiction horror film ,0
crematorium chimney fires and stacks of dead bodies ,0
